id,nombre,fecha_ingreso,edad,sexo,fecha_retiro,cargo
121,Trabajador_121,2024-03-18,53,M,,Analista
122,Trabajador_122,2022-11-25,62,F,2025-07-27,Analista
123,Trabajador_123,2024-12-11,45,F,,Gerente
124,Trabajador_124,2023-03-21,22,M,,Director
125,Trabajador_125,2023-09-17,26,F,2024-10-02,Gerente
126,Trabajador_126,2024-05-28,31,F,,Analista
127,Trabajador_127,2025-12-26,52,M,,Gerente
128,Trabajador_128,2024-12-09,52,F,,Director
129,Trabajador_129,2021-02-19,55,F,2023-05-14,Director
130,Trabajador_130,2023-05-25,29,F,2025-11-28,Auxiliar
131,Trabajador_131,2022-07-04,19,F,2024-08-15,Gerente
132,Trabajador_132,2022-10-11,44,M,,Gerente
133,Trabajador_133,2025-09-01,56,M,,Consultor
134,Trabajador_134,2025-06-02,36,M,,Coordinador
135,Trabajador_135,2023-04-06,47,M,2023-07-28,Analista
136,Trabajador_136,2025-09-12,42,F,,Consultor
137,Trabajador_137,2024-02-05,45,M,2024-04-30,Coordinador
138,Trabajador_138,2022-06-07,18,M,,Auxiliar
139,Trabajador_139,2023-01-10,28,F,,Auxiliar
140,Trabajador_140,2025-06-28,28,M,,Analista
141,Trabajador_141,2023-06-06,19,F,2024-01-11,Consultor
142,Trabajador_142,2024-07-20,36,F,,Analista
143,Trabajador_143,2024-07-05,65,M,,Analista
144,Trabajador_144,2022-09-18,41,M,2023-11-01,Ingeniero
145,Trabajador_145,2023-07-17,35,F,2024-04-23,Consultor
146,Trabajador_146,2022-06-20,20,M,,Auxiliar
147,Trabajador_147,2025-05-08,65,F,,Gerente
148,Trabajador_148,2023-08-21,26,M,2024-07-24,Director
149,Trabajador_149,2025-05-14,61,M,,Analista
150,Trabajador_150,2024-07-03,49,M,,Analista
151,Trabajador_151,2024-12-22,38,F,,Ingeniero
152,Trabajador_152,2023-03-14,45,F,,Director
153,Trabajador_153,2023-02-15,39,M,2023-04-13,Gerente
154,Trabajador_154,2024-12-07,24,M,2025-07-03,Gerente
155,Trabajador_155,2023-06-27,24,M,2025-08-16,Ingeniero
156,Trabajador_156,2021-05-27,65,F,2024-04-09,Director
157,Trabajador_157,2022-11-13,24,M,2024-12-29,Ingeniero
158,Trabajador_158,2025-02-05,37,F,,Gerente
159,Trabajador_159,2024-12-16,46,F,,Director
160,Trabajador_160,2024-05-14,63,F,2025-05-26,Ingeniero
161,Trabajador_161,2025-01-22,53,F,2025-04-19,Auxiliar
162,Trabajador_162,2021-03-11,47,M,2022-03-05,Gerente
163,Trabajador_163,2022-11-15,29,M,2024-11-18,Gerente
164,Trabajador_164,2021-01-04,40,F,2024-07-09,Consultor
165,Trabajador_165,2022-09-20,42,M,2024-01-22,Director
166,Trabajador_166,2025-03-05,41,F,,Gerente
167,Trabajador_167,2025-02-15,27,M,2025-12-01,Ingeniero
168,Trabajador_168,2022-04-13,34,M,2023-01-23,Ingeniero
169,Trabajador_169,2025-11-25,22,F,,Analista
170,Trabajador_170,2023-02-03,31,F,2024-04-26,Auxiliar
171,Trabajador_171,2024-10-26,54,F,,Auxiliar
172,Trabajador_172,2020-11-19,44,M,2022-03-17,Ingeniero
173,Trabajador_173,2025-11-13,20,F,,Coordinador
174,Trabajador_174,2023-07-17,52,M,2025-05-08,Ingeniero
175,Trabajador_175,2023-10-17,22,M,,Coordinador
176,Trabajador_176,2025-02-24,40,M,,Coordinador
177,Trabajador_177,2022-04-24,26,M,2025-09-04,Ingeniero
178,Trabajador_178,2025-12-15,34,M,,Analista
179,Trabajador_179,2022-05-04,64,F,2023-04-27,Auxiliar
180,Trabajador_180,2025-09-19,33,M,,Director
181,Trabajador_181,2024-04-01,47,F,,Gerente
182,Trabajador_182,2025-05-15,41,F,,Director
183,Trabajador_183,2024-10-19,38,M,,Consultor
184,Trabajador_184,2025-03-22,64,F,,Coordinador
185,Trabajador_185,2025-05-19,29,M,,Director
186,Trabajador_186,2022-10-05,38,F,,Director
187,Trabajador_187,2020-07-06,54,F,2023-12-25,Auxiliar
188,Trabajador_188,2025-07-08,44,M,,Auxiliar
189,Trabajador_189,2025-11-01,41,M,,Consultor
190,Trabajador_190,2024-01-23,35,M,,Analista
191,Trabajador_191,2022-12-18,46,F,2024-06-21,Gerente
192,Trabajador_192,2023-03-28,40,M,2025-09-09,Coordinador
193,Trabajador_193,2025-07-11,40,M,,Director
194,Trabajador_194,2024-06-22,28,F,,Auxiliar
195,Trabajador_195,2024-06-14,33,M,,Gerente
196,Trabajador_196,2024-07-04,48,F,2024-11-09,Gerente
197,Trabajador_197,2021-07-23,40,M,2025-07-13,Ingeniero
198,Trabajador_198,2025-09-06,64,F,,Director
199,Trabajador_199,2020-02-22,27,F,2020-10-07,Consultor
200,Trabajador_200,2021-07-10,34,M,2024-11-09,Director
201,Trabajador_201,2023-09-15,38,M,2024-03-07,Director
202,Trabajador_202,2024-01-01,43,M,,Consultor
203,Trabajador_203,2022-03-07,50,M,2024-01-25,Director
204,Trabajador_204,2025-12-21,38,M,,Consultor
205,Trabajador_205,2025-03-18,28,M,,Gerente
206,Trabajador_206,2023-06-10,64,M,,Gerente
207,Trabajador_207,2020-11-20,64,M,2022-03-17,Analista
208,Trabajador_208,2023-03-21,24,M,2025-08-27,Coordinador
209,Trabajador_209,2021-10-14,55,F,2022-04-16,Director
210,Trabajador_210,2022-11-23,18,M,,Ingeniero
211,Trabajador_211,2024-12-04,62,F,2025-05-18,Consultor
212,Trabajador_212,2025-10-28,40,M,,Auxiliar
213,Trabajador_213,2025-10-08,62,M,,Analista
214,Trabajador_214,2022-03-08,43,M,2024-10-14,Gerente
215,Trabajador_215,2023-04-04,58,M,,Coordinador
216,Trabajador_216,2024-03-20,20,F,,Ingeniero
217,Trabajador_217,2025-07-23,62,F,,Auxiliar
218,Trabajador_218,2023-01-22,21,M,,Analista
219,Trabajador_219,2023-12-06,37,M,2024-05-27,Director
220,Trabajador_220,2025-09-20,24,F,,Ingeniero
221,Trabajador_221,2023-08-28,41,M,2025-11-28,Director
222,Trabajador_222,2025-10-22,48,F,,Consultor
223,Trabajador_223,2023-07-28,32,F,2025-08-24,Auxiliar
224,Trabajador_224,2023-10-25,52,F,2024-10-02,Coordinador
225,Trabajador_225,2024-08-09,61,M,,Analista
226,Trabajador_226,2024-05-03,64,F,2024-10-18,Gerente
227,Trabajador_227,2024-03-09,30,M,,Gerente
228,Trabajador_228,2020-01-09,39,F,2021-03-16,Ingeniero
229,Trabajador_229,2024-01-10,40,M,,Consultor
230,Trabajador_230,2023-08-16,23,F,,Ingeniero
231,Trabajador_231,2022-04-17,43,F,,Director
232,Trabajador_232,2022-09-03,49,M,,Ingeniero
233,Trabajador_233,2021-05-16,45,M,2023-02-13,Director
234,Trabajador_234,2025-04-02,25,F,,Auxiliar
235,Trabajador_235,2024-04-01,19,M,2024-07-25,Ingeniero
236,Trabajador_236,2022-04-24,60,F,2022-12-22,Analista
237,Trabajador_237,2024-01-08,42,M,,Gerente
238,Trabajador_238,2025-11-06,25,F,,Auxiliar
239,Trabajador_239,2024-01-14,26,M,,Ingeniero
240,Trabajador_240,2023-03-04,58,M,,Director
241,Trabajador_241,2022-08-21,57,M,2023-11-29,Coordinador
242,Trabajador_242,2022-11-28,55,F,2025-07-02,Director
243,Trabajador_243,2021-08-06,49,F,2021-12-12,Analista
244,Trabajador_244,2021-02-25,44,M,,Coordinador
245,Trabajador_245,2023-07-12,39,M,2025-08-04,Ingeniero
246,Trabajador_246,2024-05-15,45,M,,Auxiliar
247,Trabajador_247,2023-04-04,30,F,2024-02-13,Auxiliar
248,Trabajador_248,2022-05-10,22,F,,Auxiliar
249,Trabajador_249,2022-06-27,65,F,2024-11-21,Ingeniero
250,Trabajador_250,2020-01-14,56,F,2021-11-28,Director
251,Trabajador_251,2023-01-06,20,F,,Director
252,Trabajador_252,2022-01-20,65,M,2022-05-10,Auxiliar
253,Trabajador_253,2025-08-11,51,F,,Director
254,Trabajador_254,2025-02-23,53,F,2025-06-07,Analista
255,Trabajador_255,2023-06-19,55,M,2024-11-27,Ingeniero
256,Trabajador_256,2020-08-16,53,F,2022-12-04,Gerente
257,Trabajador_257,2021-11-09,55,F,2025-05-11,Consultor
258,Trabajador_258,2023-03-19,22,M,,Coordinador
259,Trabajador_259,2024-06-08,37,M,,Director
260,Trabajador_260,2021-05-08,63,F,2022-02-14,Coordinador
261,Trabajador_261,2022-06-13,49,F,2023-12-03,Coordinador
262,Trabajador_262,2025-08-25,29,F,2025-12-04,Coordinador
263,Trabajador_263,2024-01-08,19,F,2024-06-01,Director
264,Trabajador_264,2023-01-12,64,F,2024-12-23,Analista
265,Trabajador_265,2025-09-01,21,F,,Analista
266,Trabajador_266,2025-03-05,18,F,2025-12-21,Analista
267,Trabajador_267,2023-02-09,48,F,2023-09-22,Gerente
268,Trabajador_268,2023-01-13,63,M,,Coordinador
269,Trabajador_269,2023-04-01,54,M,2023-10-22,Coordinador
270,Trabajador_270,2025-11-07,39,M,,Gerente
271,Trabajador_271,2023-03-26,33,M,2025-11-07,Analista
272,Trabajador_272,2020-08-28,23,M,2023-07-03,Ingeniero
273,Trabajador_273,2025-07-13,56,M,,Gerente
274,Trabajador_274,2021-06-12,44,F,2022-09-09,Ingeniero
275,Trabajador_275,2022-09-07,54,F,2025-08-25,Gerente
276,Trabajador_276,2024-04-26,38,M,,Analista
277,Trabajador_277,2024-07-27,51,F,,Gerente
278,Trabajador_278,2025-10-26,48,M,,Coordinador
279,Trabajador_279,2023-07-20,42,F,,Consultor
280,Trabajador_280,2024-03-28,45,M,2025-03-06,Consultor
281,Trabajador_281,2024-12-25,22,F,,Ingeniero
282,Trabajador_282,2023-05-02,59,F,,Coordinador
283,Trabajador_283,2025-02-28,34,M,,Gerente
284,Trabajador_284,2022-11-08,63,F,2023-10-10,Director
285,Trabajador_285,2025-12-13,21,F,,Ingeniero
286,Trabajador_286,2023-01-08,59,F,,Coordinador
287,Trabajador_287,2025-09-22,62,M,,Coordinador
288,Trabajador_288,2025-04-23,49,M,,Analista
289,Trabajador_289,2024-09-24,29,F,,Ingeniero
290,Trabajador_290,2023-04-14,50,M,,Director
291,Trabajador_291,2023-10-05,29,F,,Ingeniero
292,Trabajador_292,2024-10-06,34,F,,Gerente
293,Trabajador_293,2022-08-17,23,F,,Gerente
294,Trabajador_294,2020-08-21,43,F,2022-07-27,Auxiliar
295,Trabajador_295,2024-01-06,30,M,2025-07-02,Ingeniero
296,Trabajador_296,2025-06-28,48,F,,Gerente
297,Trabajador_297,2022-02-13,41,M,2023-07-21,Coordinador
298,Trabajador_298,2023-05-07,36,M,,Consultor
299,Trabajador_299,2025-09-23,26,F,,Consultor
300,Trabajador_300,2023-08-18,51,M,2025-10-04,Consultor
301,Trabajador_301,2020-12-26,46,F,2024-01-10,Coordinador
302,Trabajador_302,2025-09-13,35,M,,Coordinador
303,Trabajador_303,2025-01-27,26,F,,Coordinador
304,Trabajador_304,2023-05-25,37,M,2025-02-22,Ingeniero
305,Trabajador_305,2021-04-25,46,F,2023-04-23,Ingeniero
306,Trabajador_306,2024-11-02,52,F,2025-07-10,Gerente
307,Trabajador_307,2024-09-24,62,F,2025-10-11,Auxiliar
308,Trabajador_308,2024-10-01,61,F,,Director
309,Trabajador_309,2025-05-09,34,F,,Ingeniero
310,Trabajador_310,2022-07-23,63,F,2025-03-16,Auxiliar
311,Trabajador_311,2022-04-22,36,M,2024-12-19,Analista
312,Trabajador_312,2023-04-05,40,M,,Ingeniero
313,Trabajador_313,2022-07-19,58,M,2023-05-06,Director
314,Trabajador_314,2024-06-13,51,F,,Director
315,Trabajador_315,2022-05-24,24,F,,Gerente
316,Trabajador_316,2024-01-18,61,M,,Gerente
317,Trabajador_317,2020-03-09,25,M,2023-09-27,Auxiliar
318,Trabajador_318,2024-09-23,30,M,2025-06-28,Gerente
319,Trabajador_319,2024-11-27,51,F,,Director
320,Trabajador_320,2024-02-10,59,M,,Consultor
321,Trabajador_321,2025-11-11,41,M,,Director
322,Trabajador_322,2024-08-05,46,F,,Gerente
323,Trabajador_323,2022-11-26,55,M,2025-08-27,Ingeniero
324,Trabajador_324,2025-09-26,65,F,,Consultor
325,Trabajador_325,2023-07-01,38,F,,Analista
326,Trabajador_326,2020-05-11,58,F,,Gerente
327,Trabajador_327,2022-10-26,26,F,,Coordinador
328,Trabajador_328,2021-08-09,47,F,2023-10-26,Auxiliar
329,Trabajador_329,2024-06-22,51,F,,Coordinador
330,Trabajador_330,2024-06-03,20,M,,Consultor
331,Trabajador_331,2021-10-24,30,M,2023-07-21,Director
332,Trabajador_332,2020-11-02,27,M,2022-04-25,Ingeniero
333,Trabajador_333,2021-12-04,24,M,2023-10-07,Director
334,Trabajador_334,2023-08-17,47,F,,Ingeniero
335,Trabajador_335,2025-09-25,29,F,,Ingeniero
336,Trabajador_336,2025-05-03,20,F,,Gerente
337,Trabajador_337,2022-10-10,26,F,,Gerente
338,Trabajador_338,2020-11-12,26,F,2021-08-20,Gerente
339,Trabajador_339,2025-10-12,22,F,,Gerente
340,Trabajador_340,2021-10-11,44,F,2024-04-26,Director
341,Trabajador_341,2025-12-22,45,F,,Director
342,Trabajador_342,2022-07-15,50,F,2022-09-26,Analista
343,Trabajador_343,2023-03-20,45,M,2025-05-09,Consultor
344,Trabajador_344,2025-02-23,32,F,2025-10-06,Analista
345,Trabajador_345,2022-04-14,34,F,,Ingeniero
346,Trabajador_346,2025-08-20,59,M,,Auxiliar
347,Trabajador_347,2025-05-27,20,M,,Director
348,Trabajador_348,2022-09-14,46,M,2025-10-20,Gerente
349,Trabajador_349,2025-10-22,41,F,,Analista
350,Trabajador_350,2025-01-05,22,M,,Ingeniero
351,Trabajador_351,2023-08-17,28,F,2023-11-24,Coordinador
352,Trabajador_352,2024-07-25,37,M,,Auxiliar
353,Trabajador_353,2021-04-11,24,F,2024-05-03,Gerente
354,Trabajador_354,2021-12-04,18,F,2022-11-22,Consultor
355,Trabajador_355,2023-09-28,30,M,,Director
356,Trabajador_356,2025-11-20,54,M,,Gerente
357,Trabajador_357,2025-02-19,49,M,,Coordinador
358,Trabajador_358,2023-05-23,50,M,2023-07-21,Ingeniero
359,Trabajador_359,2024-07-05,63,M,,Gerente
360,Trabajador_360,2024-01-15,26,M,,Auxiliar
361,Trabajador_361,2023-08-07,18,F,2024-09-04,Ingeniero
362,Trabajador_362,2025-05-04,22,M,,Ingeniero
363,Trabajador_363,2024-05-18,54,M,,Auxiliar
364,Trabajador_364,2025-11-13,56,F,,Ingeniero
365,Trabajador_365,2022-06-09,50,F,2024-03-06,Auxiliar
366,Trabajador_366,2024-11-24,57,F,2025-12-20,Gerente
367,Trabajador_367,2024-06-01,50,F,,Coordinador
368,Trabajador_368,2023-03-08,40,F,,Consultor
369,Trabajador_369,2023-03-16,49,F,,Director
370,Trabajador_370,2024-06-11,49,M,2025-05-22,Gerente
371,Trabajador_371,2024-08-23,55,M,,Auxiliar
372,Trabajador_372,2024-11-21,24,M,,Ingeniero
373,Trabajador_373,2025-12-05,49,M,,Coordinador
374,Trabajador_374,2025-02-10,51,F,,Director
375,Trabajador_375,2025-05-15,65,M,2025-08-24,Auxiliar
376,Trabajador_376,2021-09-01,52,M,2023-11-14,Analista
377,Trabajador_377,2024-04-07,20,M,2024-08-15,Director
378,Trabajador_378,2025-10-04,45,F,,Consultor
379,Trabajador_379,2023-07-07,43,M,2025-07-25,Coordinador
380,Trabajador_380,2024-06-08,50,F,2025-08-15,Director
381,Trabajador_381,2023-06-03,33,F,,Gerente
382,Trabajador_382,2020-11-28,34,M,2023-06-23,Consultor
383,Trabajador_383,2024-04-11,54,F,2025-10-27,Analista
384,Trabajador_384,2024-11-16,37,F,,Analista
385,Trabajador_385,2021-11-18,27,F,2023-02-03,Consultor
386,Trabajador_386,2020-02-15,42,M,,Consultor
387,Trabajador_387,2024-08-23,63,F,,Gerente
388,Trabajador_388,2022-10-22,49,M,2024-07-21,Auxiliar
389,Trabajador_389,2023-07-07,27,M,2024-09-01,Analista
390,Trabajador_390,2022-06-18,48,F,2022-12-22,Ingeniero
391,Trabajador_391,2024-10-22,43,M,,Gerente
392,Trabajador_392,2023-07-01,23,F,2025-12-12,Coordinador
393,Trabajador_393,2023-08-20,65,M,,Coordinador
394,Trabajador_394,2024-09-27,61,M,2025-03-04,Director
395,Trabajador_395,2024-03-21,29,F,,Ingeniero
396,Trabajador_396,2024-01-07,44,F,,Director
397,Trabajador_397,2021-02-07,49,M,2022-07-11,Auxiliar
398,Trabajador_398,2024-05-21,48,F,2025-08-15,Director
399,Trabajador_399,2025-01-04,41,M,,Gerente
400,Trabajador_400,2020-04-28,65,M,2022-05-07,Consultor
401,Trabajador_401,2024-02-17,54,F,2024-12-06,Analista
402,Trabajador_402,2023-10-12,59,M,,Director
403,Trabajador_403,2024-12-06,35,F,,Gerente
404,Trabajador_404,2025-06-18,19,M,,Auxiliar
405,Trabajador_405,2025-04-12,50,F,,Gerente
406,Trabajador_406,2025-02-28,62,M,2025-06-05,Auxiliar
407,Trabajador_407,2023-05-10,20,M,,Analista
408,Trabajador_408,2025-08-18,18,M,,Ingeniero
409,Trabajador_409,2024-06-17,65,F,2024-10-29,Consultor
410,Trabajador_410,2024-11-18,59,M,,Auxiliar
411,Trabajador_411,2022-02-17,49,M,2025-09-26,Coordinador
412,Trabajador_412,2024-04-12,63,M,,Consultor
413,Trabajador_413,2024-08-01,43,M,2025-10-21,Gerente
414,Trabajador_414,2025-02-04,27,F,,Gerente
415,Trabajador_415,2022-07-26,42,M,,Ingeniero
416,Trabajador_416,2024-01-18,27,M,,Director
417,Trabajador_417,2023-06-13,26,M,2024-10-22,Ingeniero
418,Trabajador_418,2021-10-13,39,F,2024-01-10,Ingeniero
419,Trabajador_419,2024-09-22,44,M,,Coordinador
420,Trabajador_420,2023-06-09,54,M,,Gerente
421,Trabajador_421,2022-07-17,25,M,2025-06-20,Ingeniero
422,Trabajador_422,2022-10-16,24,F,,Auxiliar
423,Trabajador_423,2024-02-06,48,M,2025-07-21,Gerente
424,Trabajador_424,2025-03-24,48,M,,Consultor
425,Trabajador_425,2021-03-08,31,F,2022-03-10,Coordinador
426,Trabajador_426,2024-08-07,42,M,2025-10-16,Analista
427,Trabajador_427,2024-04-02,25,M,,Ingeniero
428,Trabajador_428,2022-02-14,63,F,2024-05-22,Coordinador
429,Trabajador_429,2025-02-16,43,F,2025-12-19,Ingeniero
430,Trabajador_430,2023-07-16,26,F,,Ingeniero
431,Trabajador_431,2022-02-05,22,M,2024-10-12,Auxiliar
432,Trabajador_432,2024-03-08,62,F,,Coordinador
433,Trabajador_433,2024-03-16,43,M,2025-02-06,Coordinador
434,Trabajador_434,2025-05-28,33,F,,Analista
435,Trabajador_435,2024-04-28,56,F,2024-11-07,Director
436,Trabajador_436,2023-02-04,47,F,2024-09-11,Gerente
437,Trabajador_437,2023-04-11,39,F,2025-06-04,Coordinador
438,Trabajador_438,2023-01-23,55,M,,Coordinador
439,Trabajador_439,2023-07-24,27,M,,Ingeniero
440,Trabajador_440,2025-12-20,33,F,,Analista
441,Trabajador_441,2023-09-18,55,M,,Auxiliar
442,Trabajador_442,2020-08-14,39,F,2022-03-28,Ingeniero
443,Trabajador_443,2021-03-03,49,M,2023-02-21,Director
444,Trabajador_444,2022-06-22,28,M,,Consultor
445,Trabajador_445,2022-04-02,33,F,2023-08-04,Ingeniero
446,Trabajador_446,2025-01-16,39,F,,Coordinador
447,Trabajador_447,2024-08-25,23,M,,Consultor
448,Trabajador_448,2024-11-08,50,M,,Analista
449,Trabajador_449,2022-02-06,25,F,,Gerente
450,Trabajador_450,2023-11-21,58,M,,Analista
451,Trabajador_451,2025-11-16,43,M,,Director
452,Trabajador_452,2022-02-27,37,F,2024-02-07,Auxiliar
453,Trabajador_453,2024-02-23,52,M,2025-03-22,Consultor
454,Trabajador_454,2020-06-17,55,M,2021-12-27,Consultor
455,Trabajador_455,2024-08-22,26,F,2024-11-30,Analista
456,Trabajador_456,2025-10-20,58,F,,Auxiliar
457,Trabajador_457,2024-02-10,55,M,,Ingeniero
458,Trabajador_458,2021-04-22,62,F,2025-03-26,Ingeniero
459,Trabajador_459,2022-10-03,18,M,2025-05-26,Analista
460,Trabajador_460,2021-01-15,19,F,2024-04-02,Ingeniero
461,Trabajador_461,2023-02-17,62,F,2024-02-19,Auxiliar
462,Trabajador_462,2025-05-09,23,M,,Auxiliar
463,Trabajador_463,2024-05-23,19,F,,Analista
464,Trabajador_464,2023-11-24,31,F,2024-07-20,Ingeniero
